timestamp,tick (µs),input,delta (time input was stable)
Thu Jan  9 13:30:12 2020,807490285,0,
Thu Jan  9 13:30:12 2020,807490450,1,165
Thu Jan  9 13:30:12 2020,807490765,0,315
Thu Jan  9 13:30:13 2020,808598338,1,1107573
Thu Jan  9 13:30:13 2020,808598682,0,344
Thu Jan  9 13:30:13 2020,808598818,1,136
Thu Jan  9 14:19:10 2020,3745385630,0,2936786812
Thu Jan  9 14:19:10 2020,3745385740,1,110
Thu Jan  9 14:19:10 2020,3745386170,0,430
Thu Jan  9 14:19:10 2020,3745386375,1,205
Thu Jan  9 14:19:10 2020,3745386545,0,170
Thu Jan  9 14:19:11 2020,3746347358,1,960813
Thu Jan  9 14:19:11 2020,3746347403,0,45
Thu Jan  9 14:19:11 2020,3746347649,1,246
Thu Jan  9 14:19:11 2020,3746347768,0,119
Thu Jan  9 14:19:11 2020,3746347918,1,150
Thu Jan  9 14:19:11 2020,3746348708,0,790
Thu Jan  9 14:19:11 2020,3746348838,1,130
Thu Jan  9 14:50:06 2020,1306814898,0,2439533940
Thu Jan  9 14:50:06 2020,1306815013,1,115
Thu Jan  9 14:50:06 2020,1306815438,0,425
Thu Jan  9 14:50:06 2020,1306815633,1,195
Thu Jan  9 14:50:06 2020,1306815823,0,190
Thu Jan  9 14:50:07 2020,1307885760,1,1069937
Thu Jan  9 14:52:01 2020,1421197117,0,113311357
Thu Jan  9 14:52:01 2020,1421197227,1,110
Thu Jan  9 14:52:01 2020,1421197722,0,495
Thu Jan  9 14:52:01 2020,1421197797,1,75
Thu Jan  9 14:52:01 2020,1421197832,0,35
Thu Jan  9 14:52:01 2020,1421197887,1,55
Thu Jan  9 14:52:01 2020,1421197972,0,85
Thu Jan  9 14:52:01 2020,1421198007,1,35
Thu Jan  9 14:52:01 2020,1421198142,0,135
Thu Jan  9 14:52:02 2020,1422321910,1,1123768
Thu Jan  9 14:52:02 2020,1422322020,0,110
Thu Jan  9 14:52:02 2020,1422322360,1,340
Thu Jan  9 14:52:02 2020,1422322575,0,215
Thu Jan  9 14:52:02 2020,1422322750,1,175
Thu Jan  9 16:46:59 2020,4024793481,0,2602470731
Thu Jan  9 16:46:59 2020,4024793586,1,105
Thu Jan  9 16:46:59 2020,4024794037,0,451
Thu Jan  9 16:46:59 2020,4024794216,1,179
Thu Jan  9 16:46:59 2020,4024794431,0,215
Thu Jan  9 16:47:00 2020,4025726338,1,931907
Thu Jan  9 16:47:00 2020,4025727153,0,815
Thu Jan  9 16:47:00 2020,4025727378,1,225
Thu Jan  9 16:55:47 2020,257764001,0,3767963377
Thu Jan  9 16:55:47 2020,257764106,1,105
Thu Jan  9 16:55:47 2020,257764601,0,495
Thu Jan  9 16:55:47 2020,257764746,1,145
Thu Jan  9 16:55:47 2020,257764931,0,185
Thu Jan  9 16:55:48 2020,258839439,1,1074508
Thu Jan  9 16:55:48 2020,258839589,0,150
Thu Jan  9 16:55:48 2020,258839959,1,370
Thu Jan  9 16:55:48 2020,258840124,0,165
Thu Jan  9 16:55:48 2020,258840369,1,245
