id,UserID,Time,Value,Kommentar,ActionID
20643,2,"2019-10-25 11:13:56",-25,"Buy (rfid) Coffee with Milk",2
20644,24,"2019-10-25 11:16:41",-25,"Buy (rfid) Coffee with Milk",2
20645,41,"2019-10-25 11:55:00",-25,"Buy (rfid) Coffee with Milk",2
20646,140,"2019-10-25 12:41:36",-25,"Buy (rfid) Coffee with Milk",2
20647,136,"2019-10-25 12:43:28",-25,"Buy (rfid) Coffee with Milk",2
20648,134,"2019-10-25 14:30:22",-25,"Buy (rfid) Coffee with Milk",2
20649,146,"2019-10-25 14:35:40",-25,"Buy (rfid) Coffee with Milk",2
20650,95,"2019-10-25 14:37:16",-25,"Buy (rfid) Coffee with Milk",2
20651,140,"2019-10-25 15:48:50",-25,"Buy (rfid) Coffee with Milk",2
20653,145,"2019-10-25 16:16:55",-25,"Buy (rfid) Coffee with Milk",2
20654,140,"2019-10-25 16:44:58",-25,"Buy (rfid) Coffee with Milk",2
20655,145,"2019-10-25 16:46:18",-25,"Buy (rfid) Coffee with Milk",2
20656,24,"2019-10-25 17:01:23",-25,"Buy (rfid) Coffee with Milk",2
20657,136,"2019-10-26 18:20:09",-25,"Buy (rfid) Coffee with Milk",2
20658,136,"2019-10-26 18:22:27",-25,"Buy (rfid) Coffee with Milk",2
20659,136,"2019-10-26 18:24:10",-25,"Buy (rfid) Coffee with Milk",2
20660,145,"2019-10-26 19:19:05",-25,"Buy (rfid) Coffee with Milk",2
20661,145,"2019-10-27 17:23:38",-25,"Buy (rfid) Coffee with Milk",2
20662,145,"2019-10-27 21:25:50",-25,"Buy (rfid) Coffee with Milk",2
20663,41,"2019-10-28 10:46:35",-25,"Buy (rfid) Coffee with Milk",2
20664,95,"2019-10-28 13:32:37",-25,"Buy (rfid) Coffee with Milk",2
20665,108,"2019-10-28 14:47:57",-25,"Buy (rfid) Coffee with Milk",2
20667,2,"2019-10-28 15:51:13",-25,"Buy (rfid) Coffee with Milk",2
20669,136,"2019-10-28 16:28:38",-25,"Buy (rfid) Coffee with Milk",2
20670,134,"2019-10-28 16:48:22",-25,"Buy (rfid) Coffee with Milk",2
20672,2,"2019-10-28 18:23:01",-25,"Buy (rfid) Coffee with Milk",2
20679,120,"2019-10-29 09:11:16",-25,"Buy (rfid) Coffee with Milk",2
