id,ts,uid,coffee,milk,price,is_synchronized
10,"2019-10-25 11:13:56",cdadeffb,1,0,20,1
11,"2019-10-25 11:16:41",c599f52d,1,0,20,1
12,"2019-10-25 11:55:00",88456e0,1,1,25,1
13,"2019-10-25 12:41:36",e584f22d,1,1,25,1
14,"2019-10-25 12:43:27",884d46e,1,1,25,1
15,"2019-10-25 14:30:22",e599f52d,1,0,20,1
16,"2019-10-25 14:35:40",8844c9d,1,0,20,1
17,"2019-10-25 14:37:16",d980333b,1,0,20,1
18,"2019-10-25 15:48:50",e584f22d,1,0,20,1
19,"2019-10-25 16:16:55",8841ce0,1,0,20,1
20,"2019-10-25 16:44:58",e584f22d,1,0,20,1
21,"2019-10-25 16:46:18",8841ce0,1,0,20,1
22,"2019-10-25 17:01:23",c599f52d,0,0,1,1
23,"2019-10-26 18:20:09",884d46e,0,0,1,1
24,"2019-10-26 18:22:27",884d46e,0,0,1,1
25,"2019-10-26 18:24:10",884d46e,1,0,20,1
26,"2019-10-26 19:19:05",8841ce0,1,0,20,1
27,"2019-10-27 17:23:38",8841ce0,0,0,1,1
28,"2019-10-27 21:25:50",8841ce0,1,0,20,1
29,"2019-10-28 10:46:35",88456e0,1,1,25,1
30,"2019-10-28 13:32:37",d980333b,1,0,20,1
31,"2019-10-28 14:47:57",88424e0,1,0,20,1
33,"2019-10-28 15:51:13",cdadeffb,1,0,20,1
35,"2019-10-28 16:28:38",884d46e,1,0,20,1
36,"2019-10-28 16:48:22",e599f52d,1,1,25,1
38,"2019-10-28 18:23:01",cdadeffb,1,1,25,1
39,"2019-10-29 09:11:16",d96a2a84,1,0,20,1
40,"2019-10-29 09:43:43",88456e0,1,0,20,1
41,"2019-10-29 11:58:53",c59ff82d,1,0,20,1
42,"2019-10-29 12:07:42",c599f52d,1,0,20,1
43,"2019-10-29 13:59:39",88414e0,1,0,20,1
44,"2019-10-29 14:00:25",e599f52d,1,0,20,1
45,"2019-10-29 14:02:08",e584f22d,1,0,20,1
